Query,Intent
Hi,Greeting
Hello,Greeting
Hey there,Greeting
Good morning,Greeting
Good afternoon,Greeting
Good evening,Greeting
Howdy,Greeting
Hi there,Greeting
Hello there,Greeting
Hey,Greeting
What's up,Greeting
Greetings,Greeting
Hi bot,Greeting
Hello chatbot,Greeting
Hey assistant,Greeting
I need help,Greeting
Can you help me,Greeting
Help me please,Greeting
Start,Greeting
I have a question,Greeting
Hi I'm new here,Greeting
Hello I want to know something,Greeting
Good day,Greeting
Hi good morning,Greeting
Hey I need assistance,Greeting
Hello can you assist me,Greeting
Hi I'm looking for information,Greeting
Hey I want to ask something,Greeting
Hello I'm a new student,Greeting
Hi I just joined,Greeting
Hey can you guide me,Greeting
Hello guide me,Greeting
Hi help me out,Greeting
Hey I'm confused,Greeting
Hello I'm lost,Greeting
Bye,Farewell
Goodbye,Farewell
See you later,Farewell
Thanks bye,Farewell
That's all thanks,Farewell
I'm done,Farewell
Exit,Farewell
Quit,Farewell
Take care,Farewell
Catch you later,Farewell
Thanks for your help bye,Farewell
Alright goodbye,Farewell
I'll talk to you later,Farewell
Okay bye,Farewell
Bye bye,Farewell
Thank you goodbye,Farewell
Have a good day,Farewell
See ya,Farewell
Later,Farewell
I'm leaving now,Farewell
Signing off,Farewell
Talk to you soon,Farewell
Thank you see you,Farewell
Ok that's all,Farewell
Nothing else thanks,Farewell
I got what I needed bye,Farewell
What courses do you offer,Course_Info
Do you have a Data Science course,Course_Info
Tell me about the Data Science program,Course_Info
What is the duration of the Data Science course,Course_Info
Is the Data Science course beginner friendly,Course_Info
What topics are covered in Data Science course,Course_Info
Can I get details about Data Science course,Course_Info
Who can join the Data Science course,Course_Info
Is there a certificate for Data Science course,Course_Info
What are the prerequisites for Data Science,Course_Info
How long is the Data Science program,Course_Info
Is Data Science taught live or recorded,Course_Info
What level is the Data Science course,Course_Info
Does Data Science have assignments and projects,Course_Info
Can I switch from Data Science to another course,Course_Info
Is Data Science course worth it,Course_Info
What will I learn in Data Science,Course_Info
Does Data Science require any prior knowledge,Course_Info
What is the syllabus of Data Science course,Course_Info
Are there any internship opportunities after Data Science,Course_Info
How many modules are in Data Science course,Course_Info
Is Data Science course self-paced,Course_Info
Can I get a demo of Data Science course,Course_Info
What is the rating of Data Science course,Course_Info
Is Data Science course accredited,Course_Info
Do you have a Artificial Intelligence course,Course_Info
Tell me about the Artificial Intelligence program,Course_Info
What is the duration of the Artificial Intelligence course,Course_Info
Is the Artificial Intelligence course beginner friendly,Course_Info
What topics are covered in Artificial Intelligence course,Course_Info
Can I get details about Artificial Intelligence course,Course_Info
Who can join the Artificial Intelligence course,Course_Info
Is there a certificate for Artificial Intelligence course,Course_Info
What are the prerequisites for Artificial Intelligence,Course_Info
How long is the Artificial Intelligence program,Course_Info
Is Artificial Intelligence taught live or recorded,Course_Info
What level is the Artificial Intelligence course,Course_Info
Does Artificial Intelligence have assignments and projects,Course_Info
Can I switch from Artificial Intelligence to another course,Course_Info
Is Artificial Intelligence course worth it,Course_Info
What will I learn in Artificial Intelligence,Course_Info
Does Artificial Intelligence require any prior knowledge,Course_Info
What is the syllabus of Artificial Intelligence course,Course_Info
Are there any internship opportunities after Artificial Intelligence,Course_Info
How many modules are in Artificial Intelligence course,Course_Info
Is Artificial Intelligence course self-paced,Course_Info
Can I get a demo of Artificial Intelligence course,Course_Info
What is the rating of Artificial Intelligence course,Course_Info
Is Artificial Intelligence course accredited,Course_Info
Do you have a Machine Learning course,Course_Info
Tell me about the Machine Learning program,Course_Info
What is the duration of the Machine Learning course,Course_Info
Is the Machine Learning course beginner friendly,Course_Info
What topics are covered in Machine Learning course,Course_Info
Can I get details about Machine Learning course,Course_Info
Who can join the Machine Learning course,Course_Info
Is there a certificate for Machine Learning course,Course_Info
What are the prerequisites for Machine Learning,Course_Info
How long is the Machine Learning program,Course_Info
Is Machine Learning taught live or recorded,Course_Info
What level is the Machine Learning course,Course_Info
Does Machine Learning have assignments and projects,Course_Info
Can I switch from Machine Learning to another course,Course_Info
Is Machine Learning course worth it,Course_Info
What will I learn in Machine Learning,Course_Info
Does Machine Learning require any prior knowledge,Course_Info
What is the syllabus of Machine Learning course,Course_Info
Are there any internship opportunities after Machine Learning,Course_Info
How many modules are in Machine Learning course,Course_Info
Is Machine Learning course self-paced,Course_Info
Can I get a demo of Machine Learning course,Course_Info
What is the rating of Machine Learning course,Course_Info
Is Machine Learning course accredited,Course_Info
Do you have a Business Analytics course,Course_Info
Tell me about the Business Analytics program,Course_Info
What is the duration of the Business Analytics course,Course_Info
Is the Business Analytics course beginner friendly,Course_Info
What topics are covered in Business Analytics course,Course_Info
Can I get details about Business Analytics course,Course_Info
Who can join the Business Analytics course,Course_Info
Is there a certificate for Business Analytics course,Course_Info
What are the prerequisites for Business Analytics,Course_Info
How long is the Business Analytics program,Course_Info
Is Business Analytics taught live or recorded,Course_Info
What level is the Business Analytics course,Course_Info
Does Business Analytics have assignments and projects,Course_Info
Can I switch from Business Analytics to another course,Course_Info
Is Business Analytics course worth it,Course_Info
What will I learn in Business Analytics,Course_Info
Does Business Analytics require any prior knowledge,Course_Info
What is the syllabus of Business Analytics course,Course_Info
Are there any internship opportunities after Business Analytics,Course_Info
How many modules are in Business Analytics course,Course_Info
Is Business Analytics course self-paced,Course_Info
Can I get a demo of Business Analytics course,Course_Info
